Generation,Best_Fitness,Selected_Features
1,0.9731971629270953,12
2,0.9749290780141843,11
3,0.9774963289280469,13
4,0.9799618598720313,7
5,0.9799618598720313,7
6,0.9815932885602514,10
7,0.9815932885602514,10
8,0.9815932885602514,10
9,0.9815932885602514,10
10,0.982496328928047,10
11,0.9832624113475177,6
12,0.9832624113475177,6
13,0.9832624113475177,6
14,0.9832624113475177,6
15,0.9849266218935847,8
